종목코드,종목명,시장
005930,삼성전자,KOSPI
000660,SK하이닉스,KOSPI
005935,삼성전자우,KOSPI
402340,SK스퀘어,KOSPI
005380,현대차,KOSPI
373220,LG에너지솔루션,KOSPI
034020,두산에너빌리티,KOSPI
329180,HD현대중공업,KOSPI
028260,삼성물산,KOSPI
009150,삼성전기,KOSPI
207940,삼성바이오로직스,KOSPI
012450,한화에어로스페이스,KOSPI
000270,기아,KOSPI
105560,KB금융,KOSPI
032830,삼성생명,KOSPI
006400,삼성SDI,KOSPI
267260,HD현대일렉트릭,KOSPI
010120,LS ELECTRIC,KOSPI
055550,신한지주,KOSPI
012330,현대모비스,KOSPI
006800,미래에셋증권,KOSPI
068270,셀트리온,KOSPI
005490,POSCO홀딩스,KOSPI
298040,효성중공업,KOSPI
034730,SK,KOSPI
042660,한화오션,KOSPI
042700,한미반도체,KOSPI
086790,하나금융지주,KOSPI
035420,NAVER,KOSPI
010130,고려아연,KOSPI
009540,HD한국조선해양,KOSPI
051910,LG화학,KOSPI
015760,한국전력,KOSPI
010140,삼성중공업,KOSPI
000150,두산,KOSPI
003670,포스코퓨처엠,KOSPI
066570,LG전자,KOSPI
069500,KODEX 200,KOSPI
064350,현대로템,KOSPI
316140,우리금융지주,KOSPI
267250,HD현대,KOSPI
096770,SK이노베이션,KOSPI
000810,삼성화재,KOSPI
272210,한화시스템,KOSPI
033780,KT&G,KOSPI
035720,카카오,KOSPI
017670,SK텔레콤,KOSPI
011200,HMM,KOSPI
086280,현대글로비스,KOSPI
138040,메리츠금융지주,KOSPI
079550,LIG디펜스앤에어로스페이스,KOSPI
000720,현대건설,KOSPI
024110,기업은행,KOSPI
360750,TIGER 미국S&P500,KOSPI
006260,LS,KOSPI
003550,LG,KOSPI
047810,한국항공우주,KOSPI
278470,에이피알,KOSPI
307950,현대오토에버,KOSPI
071050,한국금융지주,KOSPI
030200,KT,KOSPI
011070,LG이노텍,KOSPI
047050,포스코인터내셔널,KOSPI
018260,삼성에스디에스,KOSPI
047040,대우건설,KOSPI
001440,대한전선,KOSPI
010950,S-Oil,KOSPI
005940,NH투자증권,KOSPI
259960,크래프톤,KOSPI
396500,TIGER 반도체TOP10,KOSPI
016360,삼성증권,KOSPI
028050,삼성E&A,KOSPI
039490,키움증권,KOSPI
323410,카카오뱅크,KOSPI
443060,HD현대마린솔루션,KOSPI
005830,DB손해보험,KOSPI
352820,하이브,KOSPI
007660,이수페타시스,KOSPI
003230,삼양식품,KOSPI
062040,산일전기,KOSPI
102110,TIGER 200,KOSPI
000880,한화,KOSPI
003490,대한항공,KOSPI
133690,TIGER 미국나스닥100,KOSPI
005387,현대차2우B,KOSPI
379800,KODEX 미국S&P500,KOSPI
267270,HD건설기계,KOSPI
122630,KODEX 레버리지,KOSPI
009830,한화솔루션,KOSPI
459580,KODEX CD금리액티브(합성),KOSPI
278530,KODEX 200TR,KOSPI
066970,엘앤에프,KOSPI
000500,가온전선,KOSPI
326030,SK바이오팜,KOSPI
377300,카카오페이,KOSPI
161390,한국타이어앤테크놀로지,KOSPI
180640,한진칼,KOSPI
488770,KODEX 머니마켓액티브,KOSPI
090430,아모레퍼시픽,KOSPI
078930,GS,KOSPI
379810,KODEX 미국나스닥100,KOSPI
000990,DB하이텍,KOSPI
241560,두산밥캣,KOSPI
000100,유한양행,KOSPI
064400,LG씨엔에스,KOSPI
103590,일진전기,KOSPI
052690,한전기술,KOSPI
082740,한화엔진,KOSPI
454910,두산로보틱스,KOSPI
001040,CJ,KOSPI
032640,LG유플러스,KOSPI
005385,현대차우,KOSPI
021240,코웨이,KOSPI
091160,KODEX 반도체,KOSPI
034220,LG디스플레이,KOSPI
229200,KODEX 코스닥150,KOSPI
353200,대덕전자,KOSPI
011790,SKC,KOSPI
010060,OCI홀딩스,KOSPI
029780,삼성카드,KOSPI
004020,현대제철,KOSPI
336260,두산퓨얼셀,KOSPI
450080,에코프로머티,KOSPI
128940,한미약품,KOSPI
271560,오리온,KOSPI
138930,BNK금융지주,KOSPI
310970,TIGER MSCI Korea TR,KOSPI
036570,NC,KOSPI
088980,맥쿼리인프라,KOSPI
002380,KCC,KOSPI
498400,KODEX 200타겟위클리커버드콜,KOSPI
022100,포스코DX,KOSPI
381180,TIGER 미국필라델피아반도체나스닥,KOSPI
175330,JB금융지주,KOSPI
018880,한온시스템,KOSPI
411060,ACE KRX금현물,KOSPI
487240,KODEX AI전력핵심설비,KOSPI
357870,TIGER CD금리투자KIS(합성),KOSPI
004800,효성,KOSPI
423160,KODEX KOFR금리액티브(합성),KOSPI
148020,RISE 200,KOSPI
381170,TIGER 미국테크TOP10 INDXX,KOSPI
011170,롯데케미칼,KOSPI
051900,LG생활건강,KOSPI
088350,한화생명,KOSPI
273130,KODEX 종합채권(AA-이상)액티브,KOSPI
233740,KODEX 코스닥150레버리지,KOSPI
004170,신세계,KOSPI
489790,한화비전,KOSPI
023530,롯데쇼핑,KOSPI
017800,현대엘리베이터,KOSPI
011780,금호석유화학,KOSPI
111770,영원무역,KOSPI
020150,롯데에너지머티리얼즈,KOSPI
360200,ACE 미국S&P500,KOSPI
375500,DL이앤씨,KOSPI
012510,더존비즈온,KOSPI
251270,넷마블,KOSPI
036460,한국가스공사,KOSPI
035250,강원랜드,KOSPI
457190,이수스페셜티케미컬,KOSPI
097950,CJ제일제당,KOSPI
458730,TIGER 미국배당다우존스,KOSPI
102780,KODEX 삼성그룹,KOSPI
302440,SK바이오사이언스,KOSPI
001720,신영증권,KOSPI
014680,한솔케미칼,KOSPI
031210,서울보증보험,KOSPI
071970,HD현대마린엔진,KOSPI
367380,ACE 미국나스닥100,KOSPI
028670,팬오션,KOSPI
006360,GS건설,KOSPI
383220,F&F,KOSPI
439260,대한조선,KOSPI
005850,에스엘,KOSPI
139480,이마트,KOSPI
139130,iM금융지주,KOSPI
007340,DN오토모티브,KOSPI
004990,롯데지주,KOSPI
481050,KODEX CD1년금리플러스액티브(합성),KOSPI
455890,RISE 머니마켓액티브,KOSPI
009970,영원무역홀딩스,KOSPI
204320,HL만도,KOSPI
161510,PLUS 고배당주,KOSPI
012750,에스원,KOSPI
229640,LS에코에너지,KOSPI
278540,KODEX MSCI Korea TR,KOSPI
000155,두산우,KOSPI
395270,HANARO Fn K-반도체,KOSPI
120110,코오롱인더,KOSPI
395160,KODEX AI반도체,KOSPI
103140,풍산,KOSPI
001430,세아베스틸지주,KOSPI
051600,한전KPS,KOSPI
001450,현대해상,KOSPI
483650,달바글로벌,KOSPI
112610,씨에스윈드,KOSPI
305720,KODEX 2차전지산업,KOSPI
008930,한미사이언스,KOSPI
026960,동서,KOSPI
008770,호텔신라,KOSPI
292150,TIGER 코리아TOP10,KOSPI
494310,KODEX 반도체레버리지,KOSPI
011210,현대위아,KOSPI
007810,코리아써키트,KOSPI
449170,TIGER KOFR금리액티브(합성),KOSPI
018670,SK가스,KOSPI
069960,현대백화점,KOSPI
279570,케이뱅크,KOSPI
097230,HJ중공업,KOSPI
282330,BGF리테일,KOSPI
017960,한국카본,KOSPI
192820,코스맥스,KOSPI
000240,한국앤컴퍼니,KOSPI
005440,현대지에프홀딩스,KOSPI
009420,한올바이오파마,KOSPI
004370,농심,KOSPI
000120,CJ대한통운,KOSPI
161890,한국콜마,KOSPI
322000,HD현대에너지솔루션,KOSPI
077970,STX엔진,KOSPI
030000,제일기획,KOSPI
488080,TIGER 반도체TOP10레버리지,KOSPI
294400,KIWOOM 200TR,KOSPI
214980,KODEX 단기채권PLUS,KOSPI
361610,SK아이이테크놀로지,KOSPI
007070,GS리테일,KOSPI
003690,코리안리,KOSPI
085620,미래에셋생명,KOSPI
298020,효성티앤씨,KOSPI
385540,RISE 종합채권(A-이상)액티브,KOSPI
466920,SOL 조선TOP3플러스,KOSPI
023590,다우기술,KOSPI
002790,아모레퍼시픽홀딩스,KOSPI
456600,TIME 글로벌AI인공지능액티브,KOSPI
005070,코스모신소재,KOSPI
232080,TIGER 코스닥150,KOSPI
081660,미스토홀딩스,KOSPI
487230,KODEX 미국AI전력핵심인프라,KOSPI
003540,대신증권,KOSPI
395400,SK리츠,KOSPI
105190,ACE 200,KOSPI
001120,LX인터내셔널,KOSPI
003530,한화투자증권,KOSPI
284430,KODEX 200미국채혼합,KOSPI
462870,시프트업,KOSPI
453850,ACE 미국30년국채액티브(H),KOSPI
152100,PLUS 200,KOSPI
315930,KODEX Top5PlusTR,KOSPI
003570,SNT다이내믹스,KOSPI
